Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
St. Kitts and Nevis,110,110,150,140,150,150,150,160,180,180,190,210,230.0000042,230.0000042,239.9999946,219.9999988,230.0000042,250,250,699.9999881,239.9999946,280.0000012,340.0000036,230.0000042,230.0000042,239.9999946,239.9999946,239.9999946,250,250
St. Lucia,190,200,300,290,310,340,340,350,390,390,390,420,430.0000072,449.9999881,449.9999881,439.9999976,479.9999893,479.9999893,490.0000095,1370.000005,529.9999714,589.9999738,750,509.9999905,509.9999905,500,509.9999905,529.9999714,529.9999714,540.0000215
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,80,90,120,130,140,150,150,160,190,190,160,200,230.0000042,230.0000042,250,250,250,270.0000107,250,889.9999857,250,270.0000107,360.0000143,230.0000042,270.0000107,250,259.9999905,230.0000042,250,259.9999905
Sudan,5370,4800,4530,3210,4700,4510,4310,5240,4770,5310,5690,6250,7710.000038,7929.999828,8829.999924,10500,12899.99962,13960.00004,14949.99981,15479.99954,16420.00008,15920.00008,15800.00019,15220.00027,16120.00084,18709.99908,21129.99916,20959.99908,20860.00061,20620.00084
Suriname,1760,2050,2050,2060,2070,2090,2110,2130,2130,2150,1480,1520,1120.000005,1230.000019,1389.999986,1690.000057,1529.999971,1409.999967,1460.000038,1450.000048,1740.00001,1950.000048,2440.000057,2289.999962,2619.999886,2720.000029,2950.000048,2500,2210.000038,2650.000095
Sweden,53350,54240,56750,56500,58490,58230,63650,57380,58360,57260,53280,52500,54020.00046,55200.00076,53590.00015,50209.99908,48900.00153,47139.99939,46150.00153,42880.00107,48130.00107,44580.00183,42139.99939,40540.00092,39080.00183,39189.99863,38779.99878,38290.00092,36009.99832,35000
Switzerland,43330,45670,45700,43450,42590,43440,44010,42750,44250,44530,43710,45150,43569.99969,44840.00015,45279.99878,45849.99847,45479.99954,43540.00092,44959.99908,43669.99817,45209.99908,41189.99863,42520.00046,43529.99878,39790.00092,39090.00015,39669.99817,38700.00076,37479.99954,37380.00107
Syrian Arab Republic,32390,35770,35150,35880,37440,38980,42020,42070,44630,43870,44400,44730,44270.00046,44380.00107,46360.00061,57220.00122,60209.99908,63599.99847,65279.99878,60700.00076,61090.00015,56919.99817,47029.99878,30700.00076,26610.00061,25270.00046,26340.00015,29340.00015,27389.99939,25709.99908
Tajikistan,11020,10170,7690,5170,3040,2510,2240,2510,2770,2540,2200,2150,2130.000114,2180.000067,2599.999905,2470.000029,2690.000057,3269.999981,3039.999962,2410.000086,2450.000048,2559.999943,3019.999981,3200.000048,4579.999924,4900.000095,6090.000153,7369.999886,8680.000305,9420.000076
Tanzania,1890,1870,1860,1920,1910,2730,3070,2890,2690,2520,2950,3130,3569.999933,3759.99999,5079.999924,5659.999847,6050.000191,5909.999847,6079.999924,5929.999828,6909.999847,8189.99958,9869.999886,10810.00042,10710.00004,11689.99958,11199.99981,11829.99992,12000,12449.99981
Thailand,89220,98070,107950,122720,137060,155780,174710,177940,156790,163790,164490,173160,184240.0055,191929.9927,210190.0024,217770.0043,219880.0049,224589.9963,227580.0018,220259.9945,234380.0049,233600.0061,250679.9927,260700.0122,256799.9878,264000,261600.0061,258820.0073,257049.9878,267089.9963
Timor-Leste,..,..,..,..,..,..,..,..,..,..,..,..,170.0000018,170.0000018,200.000003,209.9999934,200.000003,200.000003,209.9999934,230.0000042,239.9999946,250,300.0000119,460.0000083,529.9999714,519.9999809,600.0000238,610.0000143,610.0000143,620.0000048
Togo,980,930,750,630,910,980,1360,760,1200,1710,1270,1180,1340.000033,1830.000043,1779.999971,1750,1570.000052,1500,1570.000052,2819.999933,2630.000114,2519.999981,2240.00001,1750,1590.000033,1830.000043,2299.999952,2069.999933,2309.999943,2369.999886
Tonga,80,90,80,90,90,100,80,90,90,110,100,90,100.0000015,119.9999973,129.9999952,129.9999952,150.000006,129.9999952,129.9999952,140.0000006,119.9999973,109.9999994,109.9999994,119.9999973,109.9999994,119.9999973,150.000006,180.0000072,159.9999964,159.9999964
Trinidad and Tobago,13150,13050,13150,10720,8790,8620,9190,9690,9920,9900,10200,11620,12680.00031,15449.99981,16100.00038,17590.00015,20059.99947,20500,20020.00046,19040.00092,21459.99908,22260.00023,21520.00046,22209.99908,22040.00092,21329.99992,18309.99947,18250,17780.00069,17190.00053
Tunisia,14540,15030,16110,16410,16420,16780,17320,17880,18660,19660,20700,21570,21709.99908,21500,22479.99954,22969.99931,23899.99962,24750,25250,25290.00092,27520.00046,26340.00015,27790.00092,27850.00038,29950.00076,30479.99954,29610.00061,29959.99908,29889.99939,29909.99985
Turkiye,139200,143800,149800,155580,153820,168150,185340,193430,193690,192650,216400,197770,208110.0006,219160.0037,224600.0061,235000,261079.9866,288970.0012,287190.0024,287829.9866,297109.9854,317720.0012,328880.0049,318170.0134,340640.0146,351589.9963,374589.9963,415899.9939,411730.011,396839.9963
Turkmenistan,44650,37790,28100,26970,33550,33990,30610,30500,31840,37690,38510,39120,41409.99985,46349.99847,49369.99893,50590.00015,51919.99817,58479.99954,59279.99878,52389.99939,59180.00031,65449.99695,69010.00214,70220.00122,71400.00153,73400.00153,73339.99634,73120.00275,73050.00305,72870.00275
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,10,10,10,10,10,10,10,10,10,10,10,10,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776,9.999999776
Uganda,790,810,820,810,730,950,1050,1110,1260,1290,1300,1300,1490.00001,1570.000052,1629.999995,2019.999981,2400.000095,2869.999886,2970.000029,3359.999895,3329.999924,3740.00001,3779.999971,3690.000057,4110.000134,4719.99979,4949.999809,5170.000076,5860.000134,5860.000134
Ukraine,688620,651930,574640,499310,415670,399250,346110,328240,309290,305730,297380,300550,303940.0024,330230.011,307140.0146,295410.0037,303989.9902,312140.0146,301200.0122,251619.9951,268920.0134,283339.9963,277109.9854,270269.989,237729.9957,191070.0073,201660.0037,174940.0024,185619.9951,174729.9957
United Arab Emirates,55210,61560,59700,63620,70780,75170,78530,81440,83450,85680,84730,97200,99150.00153,103819.9997,110010.0021,116459.9991,121559.9976,131830.0018,156050.0031,157020.0043,162789.9933,165600.0061,175589.9963,184470.0012,184759.9945,195240.0055,201080.0018,197039.9933,177119.9951,188860.0006
United Kingdom,561770,570680,557890,541380,535180,526810,545480,524190,526000,522750,530890,545260,530789.978,543039.978,543080.0171,540919.9829,542059.9976,530500,515340.0269,466489.9902,482440.0024,445589.9963,467779.9988,453760.0098,415600.0061,401079.9866,380809.9976,367000,360730.011,348920.0134
