Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",BHS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.76528931,,,,,18.55999947,,20.5,20.07999992,18.70000076,16.61000061,14.52000046,14.22000027,14.93999958,14.15999985,11.83152008,11.87473011,10.5860796,11.43671036,11.26228046,11.24302006,10.12944984
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55235004,12.62010956,12.45032024,10.1337204,,8.449549675,11.77812958,11.62664986,12.75230026,12.27398968,12.40672016,11.46173,12.1587801,12.28168964,13.26403999,13.33073997,12.78114986,16.53804016
Belize,BLZ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18408012,15.61225986,18.30537033,,15.7650404,16.07428932,,,,18.89439011,21.97053909,22.75577927,,,22.18861961,22.11071014,21.55191994,20.50201988,21.65851021,22.11375046,22.20202065,21.52098083,22.17474937
Bermuda,BMU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03660011,11.11384964,12.10540009,,,,13.97043037,12.93424034,,,,7.796440125,9.018799782,10.92831135,7.773469925,11.83806229,12.44235897,12.28633976,13.24979591
Bolivia,BOL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.20000076,15.80000019,17.45999908,15.68999958,15.06999969,16.34000015,17.63999939,18.02000046,19.01000023,13.52000046,14.19999981,10.40913582
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62985992,9.600270271,11.45215988,10.61093998,9.637000084,,10.41242981,11.26471996,12.42636967,13.22266006,14.08339977,14.72636032,14.15985966,15.26900005,15.72778034,15.59270954,15.44384003,16.21810913,15.92883015,16.50490952,16.1483593,15.95808029,,
Barbados,BRB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16819954,22.15035057,26.88882065,24.72448921,18.58456039,18.61813927,18.24297905,,17.22097015,15.71065044,16.10058022,18.09633064,,16.70269012,14.84482002,17.45105934,18.51855087,13.36244965,12.87915039,16.3585701,10.77849007,11.49349022,16.5802002
Brunei Darussalam,BRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,13.07098961,11.2389698,,,,,9.586009979,11.84342957,10.06579018,8.710269928,8.226819992,9.18062973,9.276000023,,,,,8.760890007,8.893429756,8.920740128,,,,,,,,,,5.302080154,9.182189941,9.726420403,,9.984600067,,11.44194984,,,,,
Bhutan,BTN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15408039,13.44834995,,,18.8022995,22.99592018,,,15.64472961,12.86166954,11.79368973,13.05737019,17.52339935,15.63381958,17.03030968,18.51928711,18.751194,20.35342407,18.3316288,20.38315582,17.70849419,15.70978165
Botswana,BWA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,14.32691002,15.51869965,15.4298296,15.49168968,16.69395065,16.03128052,,16.51087952,,16.31501961,,,,,,,,,,,,,25.8235302,,26.50778961,,20.47739983,,,,,,17.52825928,16.50358963,17.03955078,15.60871029,15.35272026,15.50314617,
Central African Republic,CAF,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14008045,9.923370361,,,,,,,,8.949319839,9.93076992,,9.214730263,12.02801991,12.0644598,9.680470467,10.05424023,9.869480133,7.860000134,7.836929798,6.475379944,7.825459957,10.61657047,8.083439827,9.387189865,8.386739731,7.319019794,8.895050049,9.135499954,9.797809601,9.782440186,9.088689804
